ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
HD,2026-01-01,2026-01-01 19:49,ts2.tech,Qualcomm stock closes down to end 2025 as chip shares slide — what QCOM investors watch next,"Qualcomm shares fell 1.5% in the last U.S. session of 2025 as semiconductor stocks weakened, with the broader market also ending lower in thin, holiday-shortened trading. Investors are now focusing on early-January U.S. data, particularly inflation and employment reports, and Qualcomm's fiscal first-quarter earnings call scheduled for February 4th. The stock's performance in the new year will be closely watched for movements signaling trends in handset demand, the broader chip cycle, and its ability to hold the $170 support area.",20260101T194937,2026-01-01 19:49:37,neutral,0.9694,0.0104,0.0101,0.9694,0.0205,0.0,0.0,1.0,1.0,1.0,1.0,0.0
HD,2026-01-01,2026-01-01 15:09,PR Newswire,INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Graphic Packaging Holding Company - GPK,"Pomerantz LLP is investigating potential securities fraud claims against Graphic Packaging Holding Company (GPK) on behalf of its investors. The investigation follows Graphic Packaging's December 8, 2025 announcement of a lowered full-year core earnings and profit outlook, leading to an 8.66% stock price drop. Investors are encouraged to contact Pomerantz LLP for information regarding a potential class action.",20260101T150919,2026-01-01 15:09:19,neutral,0.963,0.0205,0.0083,0.963,0.0288,0.0,0.0,1.0,1.0,1.0,1.0,0.0
HD,2026-01-01,2026-01-01 15:08,PR Newswire,"INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of The Home Depot, Inc. - HD","Pomerantz LLP is investigating potential securities fraud claims against The Home Depot, Inc. on behalf of its investors. This investigation follows a November 18, 2025 announcement where Home Depot reported disappointing third-quarter fiscal 2025 results and revised down its fiscal 2025 guidance, leading to a significant drop in its stock price. Investors are encouraged to contact Pomerantz LLP for more information.",20260101T150803,2026-01-01 15:08:03,neutral,0.9568,0.0267,0.0083,0.9568,0.035,0.0,0.0,1.0,1.0,1.0,1.0,0.0
HD,2026-01-01,2026-01-01 11:09,Best Life,11 Best Kirkland’s Home New Year’s Sales Starting This Week,"Kirkland's Home is offering significant discounts on hundreds of items during its New Year's 2026 sale, including wall art, furniture, candles, and throw pillows. This article highlights 11 of the best sales available, providing options for redecorating homes on a budget. Shoppers can find deals on accent pieces like gold mirrors, lounge chairs, mini lamps, and decorative textiles to refresh their living spaces.",20260101T110920,2026-01-01 11:09:20,positive,0.783,0.5792,0.2038,0.0132,0.783,1.0,0.783,1.0,1.0,1.0,1.0,0.783
HD,2026-01-01,2026-01-01 11:08,Fast Company,"What stores are open on New Year’s Day 2026? Holiday hours for Walmart, Whole Foods, Costco, and more","New Year's Day 2026 is a federal holiday, meaning many services like mail and banks will be closed, and store hours will vary. While Costco locations will be closed, most Walmart stores, grocery chains like Whole Foods, and many restaurants and fast-food establishments are expected to be open, some with modified holiday hours. The stock market, public schools, and most private schools will be closed, but movie theaters and some transit systems will operate, often on a reduced schedule.",20260101T110847,2026-01-01 11:08:47,neutral,0.773,0.204,0.0115,0.773,0.2155,0.0,0.0,1.0,1.0,1.0,1.0,0.0
HD,2026-01-01,2026-01-01 11:08,MarketBeat,"Ascent Group LLC Has $3.01 Million Holdings in Lowe's Companies, Inc. $LOW","Ascent Group LLC significantly increased its stake in Lowe's Companies, Inc. (NYSE:LOW) by 79.6% in Q3, now holding shares valued at $3.01 million. Despite several analysts trimming price targets, the stock holds a ""Moderate Buy"" consensus with an average target of $276.80. Lowe's exceeded Q3 EPS estimates and declared a quarterly dividend of $1.20 per share.",20260101T110818,2026-01-01 11:08:18,negative,0.945,-0.9076,0.945,0.0176,0.0374,-1.0,-0.945,1.0,1.0,1.0,1.0,-0.945
HD,2026-01-01,2026-01-01 09:34,MarketBeat,"Diversified Trust Co Has $12.32 Million Stock Position in The Home Depot, Inc. $HD","Diversified Trust Co reduced its stake in The Home Depot, Inc. by 25.3% in Q3, selling 10,321 shares and now owning 30,416 shares valued at $12.324 million. Despite insider sales totaling nearly $1.75 million and missing EPS expectations for the last quarter, Home Depot maintains a ""Moderate Buy"" consensus rating with a target price of $402.10, and pays a quarterly dividend of $2.30. Institutional investors collectively hold 70.86% of the company's stock.",20260101T093437,2026-01-01 09:34:37,neutral,0.9547,0.0197,0.0128,0.9547,0.0325,0.0,0.0,1.0,1.0,1.0,1.0,0.0
HD,2026-01-01,2026-01-01 08:09,El Paso Times,"What stores are open on New Year's Day? List includes Walmart, Target","This article provides a comprehensive list of stores and services open or closed on New Year's Day 2026. Major retailers like Walmart and Target will be open, while banks, Costco, and mail services will be closed. It also includes specific hours for many businesses and notes that the stock market will be closed.",20260101T080910,2026-01-01 08:09:10,positive,0.8247,0.8104,0.0142,0.1611,0.8247,1.0,0.8247,1.0,1.0,1.0,1.0,0.8247
HD,2026-01-01,2026-01-01 06:08,MarketBeat,Fidelity National Information Services (NYSE:FIS) Shares Unloaded Rep. Josh Gottheimer,"Representative Josh Gottheimer (D-New Jersey) sold between $15,001 and $50,000 of Fidelity National Information Services (NYSE:FIS) stock on November 19, 2025. This transaction occurred in his ""Morgan Stanley - Select UMA Account #1"" following FIS reporting Q3 results that beat estimates and setting a FY2025 guidance. The company also declared a $0.40 quarterly dividend, and analysts maintain a ""Moderate Buy"" consensus with an average target of $85.41.",20260101T060817,2026-01-01 06:08:17,positive,0.8369,0.6928,0.1441,0.019,0.8369,1.0,0.8369,1.0,1.0,1.0,1.0,0.8369
HD,2026-01-01,2025-12-31 19:08,AL.com,"What is open New Year’s Day? Stores, restaurants, grocery stores and more","As 2026 begins, many stores and restaurants will remain open on New Year's Day, unlike previous federal holidays. While banks, stock markets, and the U.S. Post Office will be closed, major retailers like Walmart, Target, and Kroger will operate, some with adjusted hours. Fast-food chains and national restaurants are also largely open, though it's advised to check ahead for specific pharmacy or restaurant hours.",20251231T190826,2025-12-31 19:08:26,positive,0.7273,0.7051,0.0222,0.2505,0.7273,1.0,0.7273,0.9542953289314736,1.0,1.0,0.9542953289314736,0.6940589927318607
